[2022-08-21 13:01:48] Executing SamBamViz v0.0.9
[2022-08-21 14:02:11] Parsed 19400000 reads...
[2022-08-21 14:02:19] Parsed 19450000 reads...
[2022-08-21 14:02:26] Parsed 19500000 reads...
[2022-08-21 14:02:34] Parsed 19550000 reads...
[2022-08-21 14:02:41] Parsed 19600000 reads...
[2022-08-21 14:02:49] Parsed 19650000 reads...
[2022-08-21 14:02:56] Parsed 19700000 reads...
[2022-08-21 14:03:03] Parsed 19750000 reads...
[2022-08-21 14:03:10] Parsed 19800000 reads...
[2022-08-21 14:03:18] Parsed 19850000 reads...
[2022-08-21 14:03:25] Parsed 19900000 reads...
[2022-08-21 14:03:33] Parsed 19950000 reads...
[2022-08-21 14:03:40] Parsed 20000000 reads...
[2022-08-21 14:03:47] Parsed 20050000 reads...
[2022-08-21 14:03:55] Parsed 20100000 reads...
[2022-08-21 14:04:02] Parsed 20150000 reads...
[2022-08-21 14:04:10] Parsed 20200000 reads...
[2022-08-21 14:04:18] Parsed 20250000 reads...
[2022-08-21 14:04:25] Parsed 20300000 reads...
[2022-08-21 14:04:33] Parsed 20350000 reads...
[2022-08-21 14:04:40] Parsed 20400000 reads...
[2022-08-21 14:04:47] Parsed 20450000 reads...
[2022-08-21 14:04:55] Parsed 20500000 reads...
[2022-08-21 14:05:02] Parsed 20550000 reads...
[2022-08-21 14:05:09] Parsed 20600000 reads...
[2022-08-21 14:05:17] Parsed 20650000 reads...
[2022-08-21 14:05:25] Parsed 20700000 reads...
[2022-08-21 14:05:32] Parsed 20750000 reads...
[2022-08-21 14:05:39] Parsed 20800000 reads...
[2022-08-21 14:05:46] Parsed 20850000 reads...
[2022-08-21 14:05:54] Parsed 20900000 reads...
[2022-08-21 14:06:01] Parsed 20950000 reads...
[2022-08-21 14:06:08] Parsed 21000000 reads...
[2022-08-21 14:06:16] Parsed 21050000 reads...
[2022-08-21 14:06:23] Parsed 21100000 reads...
[2022-08-21 14:06:31] Parsed 21150000 reads...
[2022-08-21 14:06:38] Parsed 21200000 reads...
[2022-08-21 14:06:46] Parsed 21250000 reads...
[2022-08-21 14:06:53] Parsed 21300000 reads...
[2022-08-21 14:07:00] Parsed 21350000 reads...
[2022-08-21 14:07:08] Parsed 21400000 reads...
[2022-08-21 14:07:16] Parsed 21450000 reads...
[2022-08-21 14:07:20] Finished parsing input file
[2022-08-21 14:07:20] - Number of reads: 21484544
[2022-08-21 14:07:20]   - Unmapped: 0
[2022-08-21 14:07:20]   - Mapped: 21484544
[2022-08-21 14:07:21] - Average raw (unclipped) read length: 99.73259236965886
[2022-08-21 14:07:21]   - Unmapped: N/A
[2022-08-21 14:07:21]   - Mapped: 99.73259236965886
[2022-08-21 14:07:21] - Average clipped read length: 96.06902869337138
[2022-08-21 14:07:21]   - Unmapped: N/A
[2022-08-21 14:07:21]   - Mapped: 96.06902869337138
[2022-08-21 14:07:21] - Average insert size: N/A
[2022-08-21 14:07:21] - Average coverage: 66272.2407618155
[2022-08-21 14:07:21] Writing nucleotide counts...
[2022-08-21 14:07:21] Finished writing nucleotide counts
